VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 6:32,7/1/2021 6:37,N,1,74,43,1,0.96,5.5,0,0.5,1.26,0,,0.3,7.56,1,1,0
2,7/1/2021 6:40,7/1/2021 6:47,N,1,75,166,1,1.67,7.5,0,0.5,1.66,0,,0.3,9.96,1,1,0
2,7/1/2021 6:23,7/1/2021 6:51,N,1,166,116,1,6.79,25.5,0,0.5,0,0,,0.3,26.3,2,1,0
2,7/1/2021 6:53,7/1/2021 7:04,N,1,116,24,1,2.31,10,0,0.5,0,0,,0.3,10.8,2,1,0
1,7/1/2021 6:20,7/1/2021 6:56,N,1,243,125,1,0,24.2,0,0.5,0,0,,0.3,25,1,1,0
2,7/1/2021 6:28,7/2/2021 6:17,N,1,169,28,1,15.63,52,0,0.5,0,6.55,,0.3,59.35,1,1,0
2,7/1/2021 6:03,7/1/2021 6:22,N,1,18,18,1,0.03,12,0,0.5,0,0,,0.3,12.8,2,1,0
2,7/1/2021 6:22,7/1/2021 7:12,N,1,18,197,1,17.64,57.5,0,0.5,0,6.55,,0.3,64.85,1,1,0
2,7/1/2021 6:48,7/1/2021 7:01,N,1,127,119,1,4.12,15,0,0.5,0,0,,0.3,15.8,2,1,0
1,7/1/2021 6:29,7/1/2021 7:07,N,5,198,50,1,9,35.7,0,0,0,0,,0.3,36,2,1,0
2,7/1/2021 6:09,7/1/2021 6:45,N,1,213,197,1,15.89,47.5,0,0.5,0,6.55,,0.3,54.85,1,1,0
2,7/1/2021 6:21,7/1/2021 7:05,N,1,119,197,1,18.8,57,0,0.5,0,6.55,,0.3,64.35,1,1,0
2,7/1/2021 6:37,7/1/2021 6:37,N,2,43,43,1,0.03,52,0,0.5,0,0,,0.3,52.8,2,1,0
2,7/1/2021 6:37,7/1/2021 6:47,N,1,43,142,1,2.77,10.5,0,0.5,2.81,0,,0.3,16.86,1,1,2.75
2,7/1/2021 6:56,7/1/2021 7:21,N,1,168,137,1,6.39,21.5,0,0.5,5.01,0,,0.3,30.06,1,1,2.75
1,7/1/2021 6:06,7/1/2021 6:19,N,1,244,75,1,0,15.2,0,0.5,0,0,,0.3,16,1,1,0
2,7/1/2021 6:32,7/1/2021 6:48,N,1,244,246,1,7.14,22,0,0.5,0,0,,0.3,25.55,2,1,2.75
2,7/1/2021 6:15,7/1/2021 6:35,N,1,223,207,1,4.04,16.5,0,0.5,0,0,,0.3,17.3,1,1,0
2,7/1/2021 6:24,7/1/2021 6:48,N,1,166,48,1,4.37,18,0,0.5,3.45,0,,0.3,25,1,1,2.75
